split,context,vs,delta_macro_f1,ci_lo,ci_hi,p_gt_zero
TEST,W256,SENT,0.08328022162299065,0.013167434373479966,0.15767627132949444,0.9925
TEST,W1024,SENT,0.08376531715914659,0.006169730427336939,0.1621814419182811,0.985
TEST,W4096,SENT,0.061507131588267594,-0.01955336417736651,0.14242116719125966,0.937
TEMPORAL,W256,SENT,0.07790842255472197,0.0,0.20757875257601888,0.864
TEMPORAL,W1024,SENT,0.1132942132346304,0.0,0.2682563338301043,0.959
TEMPORAL,W4096,SENT,0.11624875868917584,-0.026598866971537793,0.2928030513912392,0.95
COURT,W256,SENT,0.10672837748459119,0.025060594041953266,0.2255179658070124,0.9895
COURT,W1024,SENT,0.08159176546273328,-0.03009406842791396,0.211466598428198,0.882
COURT,W4096,SENT,0.10672837748459119,0.025060594041953266,0.2255179658070124,0.9895
